Mutation chance(%), Time, Solution Length, Solution Found?
4, 41870, 11, True
5, 35151, 13, True
6, 90289, 9, True
7, 55990, 9, True
8, 52064, 11, True
9, 45255, 11, True
10, 40885, 11, True
11, 29866, 9, True
12, 28736, 11, True
13, 18900, 9, True
14, 38797, 9, True
15, 27469, 11, True
16, 52006, 11, True
17, 37677, 9, True
18, 61185, 9, True
19, 51281, 9, True
4, 42235, 17, True
5, 45602, 13, True
6, 56934, 11, True
7, 50920, 13, True
8, 60788, 17, True
9, 80367, 13, True
10, 74041, 11, True
11, 62784, 11, True
12, 55479, 15, True
13, 31116, 11, True
14, 75784, 17, True
15, 81129, 13, True
16, 84048, 11, True
17, 53587, 15, True
18, 87110, 11, True
19, 68271, 13, True
4, 14722, 5, True
5, 24955, 5, True
6, 11064, 5, True
7, 21165, 5, True
8, 11289, 5, True
9, 27420, 5, True
10, 29885, 5, True
11, 29030, 7, True
12, 14024, 5, True
13, 27876, 5, True
14, 12423, 5, True
15, 21847, 5, True
16, 21450, 7, True
17, 22546, 5, True
18, 10520, 5, True
19, 19403, 5, True
4, 65892, 11, True
5, 109767, 13, True
6, 61243, 11, True
7, 73004, 11, True
8, 31858, 9, True
9, 32937, 11, True
10, 52770, 11, True
11, 84153, 9, True
12, 45842, 11, True
13, 107826, 9, True
14, 147338, 17, True
15, 52424, 9, True
16, 58270, 11, True
17, 71544, 11, True
18, 100328, 9, True
19, 91203, 15, True
4, 10403, 5, True
5, 20925, 5, True
6, 10834, 5, True
7, 12234, 5, True
8, 23046, 5, True
9, 10402, 5, True
10, 10125, 5, True
11, 10351, 5, True
12, 19438, 7, True
13, 19121, 5, True
14, 29322, 5, True
15, 18916, 5, True
16, 18713, 5, True
17, 18038, 5, True
18, 8937, 5, True
19, 17818, 5, True
4, 320918, 19, True
5, 66925, 17, True
6, 51669, 17, True
7, 48083, 17, True
8, 83411, 19, True
9, 121966, 17, True
10, 89340, 15, True
11, 84726, 15, True
12, 54457, 19, True
13, 118315, 19, True
14, 82763, 13, True
15, 55165, 17, True
16, 78645, 13, True
17, 113590, 13, True
18, 79602, 17, True
19, 36770, 13, True
4, 41916, 13, True
5, 54010, 13, True
6, 43116, 13, True
7, 42683, 13, True
8, 57227, 11, True
9, 68144, 13, True
10, 40654, 13, True
11, 64757, 13, True
12, 39336, 11, True
13, 50913, 15, True
14, 50535, 11, True
15, 45418, 11, True
16, 61913, 11, True
17, 60699, 11, True
18, 26964, 11, True
19, 47676, 11, True
4, 87704, 11, True
5, 32489, 9, True
6, 20425, 9, True
7, 32438, 9, True
8, 31150, 9, True
9, 40972, 9, True
10, 55379, 9, True
11, 39827, 9, True
12, 31667, 9, True
13, 41143, 11, True
14, 28174, 9, True
15, 40716, 9, True
16, 40345, 9, True
17, 49950, 15, True
18, 28393, 9, True
19, 49365, 11, True
4, 218530, 39, True
5, 56600, 19, True
6, 170612, 21, True
7, 82579, 21, True
8, 104794, 0, False
9, 105639, 19, True
10, 95669, 15, True
11, 69807, 19, True
12, 54679, 15, True
13, 128491, 21, True
14, 67839, 19, True
15, 154135, 21, True
16, 85461, 0, False
17, 13004, 0, False
18, 100641, 21, True
19, 122184, 17, True
4, 11415, 3, True
5, 10087, 3, True
6, 9294, 3, True
7, 9805, 3, True
8, 10201, 3, True
9, 12309, 3, True
10, 10790, 3, True
11, 12080, 3, True
12, 12312, 3, True
13, 9463, 3, True
14, 9854, 3, True
15, 9579, 3, True
16, 8723, 3, True
17, 8852, 3, True
18, 9045, 3, True
19, 9064, 3, True
4, 129105, 27, True
5, 93033, 33, True
6, 89466, 21, True
7, 176468, 23, True
8, 193540, 33, True
9, 115829, 19, True
10, 26340, 0, False
11, 130464, 19, True
12, 198647, 23, True
13, 120077, 21, True
14, 102093, 19, True
15, 34938, 35, True
16, 51502, 33, True
17, 34058, 0, False
18, 33135, 31, True
19, 67819, 0, False
4, 44103, 13, True
5, 46841, 17, True
6, 63945, 13, True
7, 46230, 15, True
8, 63351, 17, True
9, 46519, 15, True
10, 46830, 17, True
11, 67072, 17, True
12, 30510, 15, True
13, 45354, 15, True
14, 53474, 15, True
15, 47697, 13, True
16, 71324, 13, True
17, 46830, 13, True
18, 46851, 13, True
19, 46392, 15, True
4, 207682, 25, True
5, 19096757, 13, True
6, 57030, 0, False
7, 331695, 0, False
8, 181119, 19, True
9, 367662, 27, True
10, 322177, 0, False
11, 70780, 0, False
12, 141335, 19, True
13, 1359718, 0, False
14, 136717, 13, True
15, 170863, 13, True
16, 106490, 13, True
17, 63831, 0, False
18, 38534, 23, True
19, 53968, 21, True
4, 43200, 11, True
5, 56093, 13, True
6, 55420, 17, True
7, 82909, 11, True
8, 68122, 11, True
9, 41154, 11, True
10, 65807, 11, True
11, 52581, 13, True
12, 51862, 15, True
13, 64070, 11, True
14, 51775, 15, True
15, 50112, 11, True
16, 61720, 13, True
17, 60646, 11, True
18, 26975, 11, True
19, 72293, 13, True
4, 55646, 11, True
5, 54886, 7, True
6, 43673, 7, True
7, 30003, 9, True
8, 29495, 7, True
9, 19261, 7, True
10, 63027, 7, True
11, 32014, 7, True
12, 20473, 7, True
13, 28564, 7, True
14, 38694, 7, True
15, 27904, 9, True
16, 27256, 7, True
17, 17717, 7, True
18, 27118, 9, True
19, 26402, 7, True
4, 20408, 7, True
5, 30456, 7, True
6, 44640, 7, True
7, 30107, 7, True
8, 9357, 7, True
9, 19171, 7, True
10, 29091, 7, True
11, 40413, 7, True
12, 28576, 7, True
13, 28231, 7, True
14, 28018, 7, True
15, 17727, 7, True
16, 27586, 7, True
17, 17254, 7, True
18, 17557, 7, True
19, 17032, 7, True
4, 31065, 7, True
5, 30561, 7, True
6, 19557, 9, True
7, 44284, 9, True
8, 41158, 7, True
9, 29629, 7, True
10, 18962, 7, True
11, 9125, 7, True
12, 18361, 7, True
13, 28497, 7, True
14, 28029, 7, True
15, 18480, 7, True
16, 27543, 7, True
17, 27638, 7, True
18, 27092, 7, True
19, 37033, 7, True
4, 97154, 21, True
5, 151754, 35, True
6, 116404, 25, True
7, 113859, 17, True
8, 100551, 19, True
9, 124276, 19, True
10, 74338, 15, True
11, 40834, 0, False
12, 51979, 17, True
13, 134990, 11, True
14, 97101, 13, True
15, 191836, 13, True
16, 100876, 11, True
17, 109210, 11, True
18, 41331, 27, True
19, 39615, 11, True
4, 44462, 11, True
5, 30225, 11, True
6, 53616, 11, True
7, 19076, 9, True
8, 52354, 9, True
9, 64808, 9, True
10, 29279, 9, True
11, 39307, 11, True
12, 41540, 11, True
13, 50540, 9, True
14, 17854, 9, True
15, 49269, 11, True
16, 37672, 11, True
17, 26949, 9, True
18, 37103, 9, True
19, 58128, 9, True
4, 44297, 7, True
5, 31506, 9, True
6, 30240, 7, True
7, 41110, 7, True
8, 29336, 9, True
9, 28948, 7, True
10, 28624, 7, True
11, 28858, 7, True
12, 28367, 7, True
13, 28204, 9, True
14, 17780, 7, True
15, 27941, 7, True
16, 37462, 7, True
17, 26803, 7, True
18, 26592, 7, True
19, 47208, 7, True
